Student_Names,Phone_No.,Gender,Study_Hours,Part_Time_Job,Math,Physics,Chemistry,Grade,Comment,Course_Recommendation,CourseCode,ListofCourses,RatingOfCourses
Aun Thakur,9792707660,Female,1,No,43,92,24,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Gangaram Yadav,9338549451,Female,5,No,73,22,85,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Moushumi Rajput,9339761241,Male,2,Yes,24,71,94,B,Average Performance,"07_CSBS, 19_MECH, 27_DTE",NULL,NULL,NULL
Chitralekha Seth,9576891259,Female,2,No,34,19,96,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Dhiraj Thakur,9057562176,Female,4,No,73,68,61,B,Average Performance,"04_CSR, 24_PROD, 13_CE",NULL,NULL,NULL
Arij Seth,9493960732,Female,5,Yes,46,86,98,B+,Good Pursuance,"05_CSECS, 32_BC, 36_BSP",NULL,NULL,NULL
Haseeb Srivastav,9165962410,Female,6,No,22,23,31,F,Failed,Better luck next time,NULL,NULL,NULL
Paranthaman Singh,9779966175,Female,5,Yes,25,88,66,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Parsant Maurya,9407261992,Female,1,No,92,98,45,B+,Good Pursuance,"05_CSECS, 32_BC, 36_BSP",NULL,NULL,NULL
Krishna Murthy Yadav,9602124949,Male,10,Yes,77,11,87,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Charumati Thakur,9883299355,Male,5,Yes,43,13,55,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Anant Seth,9521337961,Female,6,No,22,69,89,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
દિનેશ Gupta,9451211719,Male,4,Yes,20,92,53,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Kantu Yadav,9755357896,Male,1,No,16,90,73,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Ramanath Yadav,9240253627,Male,5,No,100,60,68,B+,Good Pursuance,"05_CSECS, 32_BC, 36_BSP",NULL,NULL,NULL
Bindaas Rai,9848886770,Female,8,No,83,91,59,B+,Good Pursuance,"05_CSECS, 32_BC, 36_BSP",NULL,NULL,NULL
Rajvir Vishwakarma,9907916185,Female,7,Yes,14,60,47,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Rajbahadur Kumar,9479751458,Female,4,Yes,32,40,85,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Jamsed Rao,9632403012,Female,6,Yes,49,16,65,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Dhanish Singh,9274473172,Female,10,Yes,25,87,14,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Vidhur Rajput,9528719087,Male,3,No,20,11,26,F,Failed,Better luck next time,NULL,NULL,NULL
Tanzeem Maurrya,9399660548,Male,2,No,19,68,38,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Hirendra Vishwakarma,9587784666,Male,4,No,73,22,85,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Manimala Seth,9750837304,Female,4,No,55,85,88,B+,Good Pursuance,"05_CSECS, 32_BC, 36_BSP",NULL,NULL,NULL
Mariappan Tiwari,9302491311,Male,9,Yes,90,83,56,B+,Good Pursuance,"05_CSECS, 32_BC, 36_BSP",NULL,NULL,NULL
रेखा Mishra,9712331649,Male,2,No,46,92,19,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Balagopal Srivastav,9612285660,Female,5,Yes,54,58,47,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Zankhana Rai,9127075907,Female,1,Yes,24,12,58,F,Failed,Better luck next time,NULL,NULL,NULL
Kapil Kumar Kumari,9731741455,Female,3,No,94,92,23,B,Average Performance,"04_CSR, 24_PROD, 13_CE",NULL,NULL,NULL
Priyanga Rai,9221251732,Male,7,Yes,21,36,27,F,Failed,Better luck next time,NULL,NULL,NULL
Mistry Srivastav,9561460552,Male,7,No,46,54,84,B,Average Performance,"07_CSBS, 19_MECH, 27_DTE",NULL,NULL,NULL
Brijesh Rao,9543367833,Male,4,No,45,63,18,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Saranya Kumar,9872346264,Male,4,Yes,26,18,75,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Shreyansh Vishwakarma,9379031529,Female,5,No,12,16,50,F,Failed,Better luck next time,NULL,NULL,NULL
Hasinur Kumari,9736439319,Male,3,Yes,64,61,86,B,Average Performance,Better luck next time,NULL,NULL,NULL
Jothimani Devi,9927812140,Male,2,Yes,73,88,36,B,Average Performance,"04_CSR, 24_PROD, 13_CE",NULL,NULL,NULL
Namratha Rajput,9356509789,Female,1,Yes,11,31,74,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Nashir Seth,9866670390,Female,8,Yes,94,94,46,B+,Good Pursuance,"05_CSECS, 32_BC, 36_BSP",NULL,NULL,NULL
Shezad Singh,9153655929,Male,3,No,10,49,32,F,Failed,Better luck next time,NULL,NULL,NULL
Virpal Seth,9612452333,Female,3,Yes,32,79,36,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Gajendar Divedi,9540727894,Female,9,No,19,30,88,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Vidyanand Seth,9244822887,Male,9,No,37,48,25,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Abulkalam Pandit,9057837598,Female,9,No,36,38,94,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Pradesh Maurrya,9011163418,Female,3,No,65,35,22,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Soubhagya Vishwakarma,9381065903,Female,10,Yes,30,25,89,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Sukhadev Rai,9632000815,Female,8,No,90,37,87,B+,Good Pursuance,"02_CSAI, 32_BC, 35_BSC",NULL,NULL,NULL
Ajit Kumar Rao,9251691437,Male,10,No,80,49,32,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Mukhtar Mishra,9342055818,Male,8,Yes,22,81,60,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Afaq Singh,9993691060,Male,6,No,82,32,73,B,Average Performance,"07_CSBS, 19_MECH, 27_DTE",NULL,NULL,NULL
Taruna Sonkar,9840633600,Male,3,Yes,26,40,87,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
ಮಂಜು Tiwari,9629023962,Male,8,Yes,97,17,61,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Shivpal Divedi,9940086726,Male,5,No,39,22,56,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Nitishkumar Srivastav,9080518221,Male,9,Yes,99,24,92,B+,Good Pursuance,"02_CSAI, 32_BC, 35_BSC",NULL,NULL,NULL
प्रेम Srivastav,9813882081,Female,7,No,98,73,99,A,Very Good Achivement,Better luck next time,NULL,NULL,NULL
Syamu Tiwari,9297975833,Female,4,Yes,55,18,32,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Sanmugam Vishwakarma,9985128954,Male,6,No,60,57,41,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Hansini Pandey,9996571658,Male,2,No,23,64,70,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Sumer Singh,9222738504,Female,8,Yes,17,92,93,B,Average Performance,"04_CSR, 24_PROD, 13_CE",NULL,NULL,NULL
Senthi Seth,9653768009,Male,8,No,76,68,92,B+,Good Pursuance,"05_CSECS, 32_BC, 36_BSP",NULL,NULL,NULL
Satyananda Pratap,9373513089,Female,10,Yes,61,14,51,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Leeza Rai,9333863999,Female,4,No,58,91,29,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Soljar Divedi,9189843572,Male,5,No,23,95,79,B,Average Performance,"04_CSR, 24_PROD, 13_CE",NULL,NULL,NULL
Deepsingh Kumar,9796430350,Male,3,No,65,16,57,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Venket Divedi,9495505474,Male,10,Yes,62,40,65,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Somen Maurya,9163932254,Female,9,No,16,84,96,B,Average Performance,"04_CSR, 24_PROD, 13_CE",NULL,NULL,NULL
Pitabas Yadav,9928747106,Female,2,No,84,90,13,B,Average Performance,"07_CSBS, 19_MECH, 27_DTE",NULL,NULL,NULL
Bhupendra Singh Pandey,9302741544,Male,1,No,78,38,13,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Krishnpal Thakur,9224105736,Male,6,Yes,27,25,93,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Atma Divedi,9198568784,Male,2,Yes,80,63,27,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Jadu Singh,9277294660,Female,3,No,77,23,51,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Murari Vishwakarma,9547382365,Male,3,Yes,21,15,67,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Dharmendar Kumar Pandit,9217996636,Male,2,Yes,73,88,54,B+,Good Pursuance,"02_CSAI, 32_BC, 35_BSC",NULL,NULL,NULL
Adrija Seth,9396449272,Male,6,No,59,54,80,B,Average Performance,"07_CSBS, 19_MECH, 27_DTE",NULL,NULL,NULL
Muddassir Yadav,9517179006,Female,1,Yes,60,57,35,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Prince Singh,9598367858,Female,3,No,86,76,74,B+,Good Pursuance,"05_CSECS, 32_BC, 36_BSP",NULL,NULL,NULL
Ramireddy Vishwakarma,9919935766,Female,5,Yes,56,31,95,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Godu Singh,9868510080,Female,7,Yes,79,19,30,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Vikul Yadav,9819156667,Male,4,Yes,21,13,36,F,Failed,Better luck next time,NULL,NULL,NULL
Sukamal Yadav,9709101740,Male,2,Yes,66,98,13,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Veer Vishwakarma,9787454794,Female,1,No,30,62,100,B,Average Performance,"07_CSBS, 19_MECH, 27_DTE",NULL,NULL,NULL
Dheraj Sonkar,9505913229,Female,10,No,70,88,15,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Birbal Devi,9432206016,Female,8,Yes,11,97,44,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Nagendrababu Rajput,9580732287,Female,4,No,27,21,23,F,Failed,Better luck next time,NULL,NULL,NULL
Anji Maurrya,9677225767,Male,8,No,62,80,76,B+,Good Pursuance,"02_CSAI, 32_BC, 35_BSC",NULL,NULL,NULL
Dayaal Thakur,9491344264,Male,7,No,80,65,53,B,Average Performance,"04_CSR, 24_PROD, 13_CE",NULL,NULL,NULL
Loke Vishwakarma,9054062767,Male,5,Yes,91,67,60,B+,Good Pursuance,"02_CSAI, 32_BC, 35_BSC",NULL,NULL,NULL
Marak Mishra,9151683263,Female,4,Yes,94,91,14,B,Average Performance,"04_CSR, 24_PROD, 13_CE",NULL,NULL,NULL
Qadri Thakur,9239796809,Female,1,No,43,58,83,B,Average Performance,"07_CSBS, 19_MECH, 27_DTE",NULL,NULL,NULL
Jayan Mishra,9640055311,Female,4,No,58,88,76,B+,Good Pursuance,"02_CSAI, 32_BC, 35_BSC",NULL,NULL,NULL
Manasi Rajput,9902970807,Female,8,No,32,97,44,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Abhiraam Divedi,9431805740,Female,6,Yes,45,93,89,B+,Good Pursuance,"05_CSECS, 32_BC, 36_BSP",NULL,NULL,NULL
Jay Shankar Divedi,9607012590,Female,1,No,11,60,96,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Dev Raj Rai,9763515723,Male,7,Yes,15,20,36,F,Failed,Better luck next time,NULL,NULL,NULL
Rajeesh Seth,9068516610,Female,9,No,91,57,59,B,Average Performance,"04_CSR, 24_PROD, 13_CE",NULL,NULL,NULL
Krn Pandey,9017710216,Female,5,No,34,90,93,B+,Good Pursuance,"02_CSAI, 32_BC, 35_BSC",NULL,NULL,NULL
Md Mustak Devi,9604680445,Male,1,Yes,86,90,50,B+,Good Pursuance,"05_CSECS, 32_BC, 36_BSP",NULL,NULL,NULL
Sakim Kumari,9072274340,Male,10,No,13,24,34,F,Failed,Better luck next time,NULL,NULL,NULL
Pon Rao,9062806643,Male,5,Yes,69,38,91,B,Average Performance,"04_CSR, 24_PROD, 13_CE",NULL,NULL,NULL
Parmeshwar Rao,9539328244,Female,4,No,63,44,58,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Naimish Devi,9330119381,Female,1,No,72,43,76,B,Average Performance,"07_CSBS, 19_MECH, 27_DTE",NULL,NULL,NULL
Fantastic Sonkar,9727810872,Female,5,Yes,24,100,61,B,Average Performance,"07_CSBS, 19_MECH, 27_DTE",NULL,NULL,NULL
Brihaspati Seth,9916891352,Male,4,No,36,60,26,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Kunaal Rai,9930927588,Male,6,Yes,86,30,26,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Biji Vishwakarma,9492106331,Male,4,Yes,59,44,47,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Sreenath Kumari,9637276348,Female,10,Yes,31,10,12,F,Failed,Better luck next time,NULL,NULL,NULL
Laljibhai Seth,9839034695,Male,4,No,81,41,76,B,Average Performance,"04_CSR, 24_PROD, 13_CE",NULL,NULL,NULL
Abdul Samad Tiwari,9560456753,Male,10,Yes,13,12,27,F,Failed,Better luck next time,NULL,NULL,NULL
Rajkishore Rai,9445420948,Female,4,Yes,70,65,78,B+,Good Pursuance,"02_CSAI, 32_BC, 35_BSC",NULL,NULL,NULL
Virupaksha Tiwari,9042364980,Male,9,No,28,35,16,F,Failed,Better luck next time,NULL,NULL,NULL
Naimuddin Gupta,9778459080,Female,3,No,37,39,58,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Piar Maurya,9298092582,Female,1,No,70,86,98,A,Very Good Achivement,"09_ECE, 23_AEE, 26_AGRE",NULL,NULL,NULL
Abdus Kumar,9873092184,Female,4,No,95,70,57,B+,Good Pursuance,"02_CSAI, 32_BC, 35_BSC",NULL,NULL,NULL
Kulbhushan Singh,9413277289,Male,7,No,45,28,18,F,Failed,Better luck next time,NULL,NULL,NULL
Lingaraju Kumari,9658181268,Male,6,Yes,64,60,11,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Surya Kant Mishra,9545886642,Male,10,No,15,78,44,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Sreedevi Tiwari,9443138018,Male,8,No,74,14,52,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Sameeksha Gupta,9278501928,Male,8,No,41,91,65,B,Average Performance,"04_CSR, 24_PROD, 13_CE",NULL,NULL,NULL
Yogish Pandey,9238527662,Female,8,Yes,88,32,37,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Sontosh Gupta,9908492908,Male,10,No,90,30,26,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Sri Ram Mishra,9213810819,Female,2,Yes,88,87,42,B+,Good Pursuance,"02_CSAI, 32_BC, 35_BSC",NULL,NULL,NULL
Amisha Vishwakarma,9960872070,Female,1,Yes,24,95,44,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Shyama Rao,9075045095,Male,6,No,73,24,92,B,Average Performance,"07_CSBS, 19_MECH, 27_DTE",NULL,NULL,NULL
Pushpanjali Gupta,9895699068,Female,10,No,49,29,20,F,Failed,Better luck next time,NULL,NULL,NULL
Balram Kumar Kumari,9456256869,Male,3,Yes,75,54,95,B+,Good Pursuance,"02_CSAI, 32_BC, 35_BSC",NULL,NULL,NULL
Bhopal Pandey,9611664178,Female,10,Yes,89,56,31,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Razzak Rajput,9486504526,Female,3,No,41,57,32,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
सदिप Rajput,9035169616,Male,3,Yes,24,24,27,F,Failed,Better luck next time,NULL,NULL,NULL
Nathiya Kumari,9058875285,Female,7,Yes,26,62,40,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Amaranaath Maurya,9414204092,Female,1,Yes,97,34,71,B,Average Performance,"04_CSR, 24_PROD, 13_CE",NULL,NULL,NULL
Jayshree Pandey,9619509594,Male,5,Yes,90,55,36,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Aslam Pandit,9855047260,Female,6,No,99,76,50,B+,Good Pursuance,"05_CSECS, 32_BC, 36_BSP",NULL,NULL,NULL
Narayanarao Sonkar,9391543642,Female,7,Yes,23,12,36,F,Failed,Better luck next time,NULL,NULL,NULL
Nethra Devi,9364154255,Female,1,No,14,90,67,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Gudu Sonkar,9338899579,Female,10,Yes,88,23,41,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Gyansingh Divedi,9875131390,Male,9,Yes,97,20,15,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Khokan Tiwari,9993922629,Female,1,No,87,98,33,B+,Good Pursuance,"02_CSAI, 32_BC, 35_BSC",NULL,NULL,NULL
Soren Rai,9316361672,Female,6,Yes,29,26,49,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Guriya Tiwari,9819957420,Male,2,Yes,38,89,40,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Hmingi Rajput,9558022349,Female,7,No,51,75,32,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Rosidul Singh,9456411509,Male,1,No,34,72,73,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Sharat Maurya,9051832971,Male,2,Yes,89,93,16,B,Average Performance,"04_CSR, 24_PROD, 13_CE",NULL,NULL,NULL
Oye Tiwari,9071772855,Male,6,Yes,28,46,94,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Sanjoy Mishra,9667741710,Female,2,No,44,85,26,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Kangresh Rajput,9254666101,Female,6,Yes,77,15,86,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Denzil Gupta,9230848723,Male,2,Yes,57,95,22,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Munis Tiwari,9210657827,Male,5,No,61,80,50,B,Average Performance,"07_CSBS, 19_MECH, 27_DTE",NULL,NULL,NULL
Nasir Khan Seth,9122273280,Female,2,Yes,21,88,87,B,Average Performance,"04_CSR, 24_PROD, 13_CE",NULL,NULL,NULL
Pakaj Sonkar,9820755226,Female,6,Yes,76,91,62,B+,Good Pursuance,"05_CSECS, 32_BC, 36_BSP",NULL,NULL,NULL
Santanu Sonkar,9030454038,Male,10,No,28,51,81,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Dharmveer Yadav,9526807175,Female,5,No,94,66,89,A,Very Good Achivement,"09_ECE, 23_AEE, 26_AGRE",NULL,NULL,NULL
Prvin Maurya,9898532011,Female,3,No,18,98,40,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Shantosh Mishra,9577008212,Female,3,Yes,56,15,24,F,Failed,Better luck next time,NULL,NULL,NULL
Sunirmal Sonkar,9147474268,Female,7,No,64,54,73,B,Average Performance,"07_CSBS, 19_MECH, 27_DTE",NULL,NULL,NULL
Dhir Devi,9320378927,Female,4,No,91,97,65,A,Very Good Achivement,"09_ECE, 23_AEE, 26_AGRE",NULL,NULL,NULL
Aman Tiwari,9534003242,Female,3,No,46,70,88,B,Average Performance,"04_CSR, 24_PROD, 13_CE",NULL,NULL,NULL
Trushar Kumar,9606981487,Female,4,Yes,31,100,68,B,Average Performance,"04_CSR, 24_PROD, 13_CE",NULL,NULL,NULL
Debaraj Kumari,9072404833,Female,7,No,42,62,26,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
G S Rai,9849558804,Male,8,No,86,48,34,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Kiritbhai Kumar,9362402379,Female,2,Yes,29,41,77,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Vipin Kumar Rajput,9877258293,Male,6,No,25,77,36,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Kedar Srivastav,9072356983,Female,8,No,48,11,85,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Karansinh Kumar,9454654236,Female,7,Yes,14,57,20,F,Failed,Better luck next time,NULL,NULL,NULL
Tunu Seth,9278244740,Male,5,Yes,36,53,96,B,Average Performance,"07_CSBS, 19_MECH, 27_DTE",NULL,NULL,NULL
Md Nadeem Kumari,9748901577,Male,2,No,23,44,99,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Shivay Kumari,9934347595,Female,10,No,22,57,95,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Porishmita Gupta,9712915094,Male,5,Yes,78,55,98,B+,Good Pursuance,"05_CSECS, 32_BC, 36_BSP",NULL,NULL,NULL
Suchismita Mishra,9640742103,Male,2,Yes,42,72,17,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Budhia Srivastav,9876504544,Male,3,No,51,32,13,F,Failed,Better luck next time,NULL,NULL,NULL
Duryodhan Rajput,9970690576,Male,2,No,98,77,86,A,Very Good Achivement,"15_CHE, 16_BIOE, 25_FPT",NULL,NULL,NULL
Parvinder Rai,9049145550,Female,10,Yes,87,31,23,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Tulshidas Thakur,9375285145,Female,4,No,73,68,99,B+,Good Pursuance,Better luck next time,NULL,NULL,NULL
Thamarai Vishwakarma,9563909205,Female,10,Yes,51,78,61,B,Average Performance,"07_CSBS, 19_MECH, 27_DTE",NULL,NULL,NULL
Biplop Rajput,9411489149,Female,7,Yes,12,18,71,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Tejinder Kumar,9543443488,Male,1,Yes,84,50,72,B,Average Performance,"04_CSR, 24_PROD, 13_CE",NULL,NULL,NULL
Janardhan Divedi,9479867748,Female,2,No,38,46,49,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
गनेश Tiwari,9151647256,Male,10,Yes,40,48,46,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Netai Pandit,9938573511,Female,4,No,53,49,48,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Nibir Tiwari,9288961057,Female,9,Yes,17,11,48,F,Failed,Better luck next time,NULL,NULL,NULL
Buddhadeb Singh,9869211076,Male,1,Yes,29,15,53,F,Failed,Better luck next time,NULL,NULL,NULL
Sradhanjali Divedi,9391265962,Male,10,Yes,57,30,25,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Bhagyashree Mishra,9791006557,Male,1,No,33,21,69,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Brajen Kumari,9524803397,Female,9,No,61,89,94,A,Very Good Achivement,"09_ECE, 23_AEE, 26_AGRE",NULL,NULL,NULL
Indro Maurya,9378094412,Female,8,No,10,90,89,B,Average Performance,"07_CSBS, 19_MECH, 27_DTE",NULL,NULL,NULL
Promit Vishwakarma,9636114119,Female,3,Yes,84,90,28,B,Average Performance,"04_CSR, 24_PROD, 13_CE",NULL,NULL,NULL
Ekanath Srivastav,9471873151,Female,3,No,20,99,94,B+,Good Pursuance,"02_CSAI, 32_BC, 35_BSC",NULL,NULL,NULL
Sunayana Thakur,9879893705,Female,5,No,54,25,52,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Munnalal Rao,9423584257,Male,10,Yes,96,33,61,B,Average Performance,"07_CSBS, 19_MECH, 27_DTE",NULL,NULL,NULL
Md Iqbal Rao,9648278728,Female,6,No,55,66,91,B,Average Performance,Better luck next time,NULL,NULL,NULL
Sumangal Vishwakarma,9123799762,Female,5,No,83,67,73,B+,Good Pursuance,"02_CSAI, 32_BC, 35_BSC",NULL,NULL,NULL
Shabuddin Tiwari,9343089736,Male,3,Yes,72,64,13,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Tejveer Maurrya,9261202074,Female,7,No,50,36,89,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Thirumala Singh,9784228596,Female,10,No,78,48,82,B,Average Performance,"04_CSR, 24_PROD, 13_CE",NULL,NULL,NULL
Chandrasen Vishwakarma,9405163780,Female,9,Yes,41,71,100,B,Average Performance,Better luck next time,NULL,NULL,NULL
Ningaraju Tiwari,9066616003,Female,4,Yes,36,89,70,B,Average Performance,"04_CSR, 24_PROD, 13_CE",NULL,NULL,NULL
Jagadesh Rai,9779902686,Male,8,Yes,87,47,21,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Parminder Maurrya,9438081235,Female,1,Yes,76,33,67,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
Rajendar Kumari,9492786510,Female,7,Yes,37,94,13,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Jitendera Thakur,9657439088,Female,5,No,17,69,10,F,Failed,Better luck next time,NULL,NULL,NULL
Malviya Seth,9676073967,Male,6,Yes,92,88,10,B,Average Performance,"07_CSBS, 19_MECH, 27_DTE",NULL,NULL,NULL
Budh Devi,9867940037,Female,9,Yes,11,71,58,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
विपिन Seth,9468561415,Female,1,No,68,22,72,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
B Raju Sonkar,9640395781,Male,3,No,89,46,12,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Ganga Ram Divedi,9439704374,Female,2,Yes,25,19,34,F,Failed,Better luck next time,NULL,NULL,NULL
Adyasha Rai,9857576929,Male,6,No,43,93,75,B,Average Performance,Better luck next time,NULL,NULL,NULL
Rani Mishra,9749354980,Female,1,Yes,54,44,52,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Arshan Rai,9168054699,Female,5,Yes,91,50,97,B+,Good Pursuance,"05_CSECS, 32_BC, 36_BSP",NULL,NULL,NULL
Narpatsingh Devi,9098011902,Male,7,No,89,92,79,A,Very Good Achivement,"15_CHE, 16_BIOE, 25_FPT",NULL,NULL,NULL
Sucheta Divedi,9410586434,Male,1,Yes,86,55,88,B+,Good Pursuance,"05_CSECS, 32_BC, 36_BSP",NULL,NULL,NULL
Abhisar Thakur,9782590191,Female,4,Yes,45,26,79,D,Poor Pursuance,Better luck next time,NULL,NULL,NULL
Renubala Seth,9523981524,Female,9,No,81,32,40,C,Below Average Achivement,"28_METE, 29_TEXE, 31_POLE",NULL,NULL,NULL
